Epoch 0105 | Time 1.727 (1.506) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0106 | Time 1.423 (1.530) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0107 | Time 1.919 (1.526) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9955
Epoch 0108 | Time 1.406 (1.503) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0109 | Time 1.713 (1.515) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0110 | Time 1.616 (1.502) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0111 | Time 0.242 (0.224) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
Epoch 0112 | Time 0.238 (0.210) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0113 | Time 0.246 (0.190) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
Epoch 0114 | Time 1.627 (1.485) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
Epoch 0115 | Time 0.606 (1.011) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
Epoch 0116 | Time 0.527 (0.219) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
Epoch 0117 | Time 0.602 (0.189) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
Epoch 0118 | Time 0.247 (0.174) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0119 | Time 0.702 (0.205) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
